batchnum,loss,cer,time
batch 31100, ctc loss: 1.025069, cer: 0.230036, time/batch:   0.738
batch 31200, ctc loss: 1.032631, cer: 0.231852, time/batch:   0.753
batch 31300, ctc loss: 1.048301, cer: 0.232512, time/batch:   0.751
batch 31400, ctc loss: 1.062630, cer: 0.234617, time/batch:   0.758
batch 31500, ctc loss: 1.060183, cer: 0.238620, time/batch:   0.753
batch 31600, ctc loss: 1.036640, cer: 0.233668, time/batch:   0.733
batch 31700, ctc loss: 1.034672, cer: 0.232182, time/batch:   0.762
batch 31800, ctc loss: 1.049588, cer: 0.235772, time/batch:   0.759
batch 31900, ctc loss: 1.023773, cer: 0.229871, time/batch:   0.745
batch 32000, ctc loss: 1.041875, cer: 0.233874, time/batch:   0.738
batch 32100, ctc loss: 1.051190, cer: 0.233214, time/batch:   0.744
batch 32200, ctc loss: 1.053405, cer: 0.234080, time/batch:   0.763
batch 32300, ctc loss: 1.059418, cer: 0.231976, time/batch:   0.735
batch 32400, ctc loss: 1.058059, cer: 0.233874, time/batch:   0.750
batch 32500, ctc loss: 1.065435, cer: 0.232512, time/batch:   0.757
batch 32600, ctc loss: 1.055286, cer: 0.230861, time/batch:   0.754
batch 32700, ctc loss: 1.051787, cer: 0.228426, time/batch:   0.753
batch 32800, ctc loss: 1.072423, cer: 0.238083, time/batch:   0.760
batch 32900, ctc loss: 1.066344, cer: 0.233791, time/batch:   0.752
batch 33000, ctc loss: 1.091272, cer: 0.236144, time/batch:   0.767
batch 33100, ctc loss: 1.081634, cer: 0.232347, time/batch:   0.752
batch 33200, ctc loss: 1.063830, cer: 0.231398, time/batch:   0.738
batch 33300, ctc loss: 1.063120, cer: 0.232512, time/batch:   0.759
batch 33400, ctc loss: 1.065474, cer: 0.231439, time/batch:   0.758
batch 33500, ctc loss: 1.130825, cer: 0.249433, time/batch:   0.741
batch 33600, ctc loss: 1.067429, cer: 0.237423, time/batch:   0.766
batch 33700, ctc loss: 1.075943, cer: 0.235690, time/batch:   0.750
batch 33800, ctc loss: 1.076905, cer: 0.233957, time/batch:   0.757
batch 33900, ctc loss: 1.078695, cer: 0.233833, time/batch:   0.744
batch 34000, ctc loss: 1.066798, cer: 0.233214, time/batch:   0.731
batch 34100, ctc loss: 1.067019, cer: 0.230985, time/batch:   0.751
batch 34200, ctc loss: 1.071341, cer: 0.236887, time/batch:   0.751
batch 34300, ctc loss: 1.061778, cer: 0.231728, time/batch:   0.768
batch 34400, ctc loss: 1.050718, cer: 0.231233, time/batch:   0.737
batch 34500, ctc loss: 1.043279, cer: 0.232017, time/batch:   0.747
batch 34600, ctc loss: 1.063479, cer: 0.231315, time/batch:   0.756
batch 34700, ctc loss: 1.047668, cer: 0.231398, time/batch:   0.732
batch 34800, ctc loss: 1.048104, cer: 0.233874, time/batch:   0.741
batch 34900, ctc loss: 1.062694, cer: 0.233337, time/batch:   0.747
batch 35000, ctc loss: 1.055499, cer: 0.235112, time/batch:   0.712
batch 35100, ctc loss: 1.056458, cer: 0.234204, time/batch:   0.736
batch 35200, ctc loss: 1.050941, cer: 0.233626, time/batch:   0.733
batch 35300, ctc loss: 1.041354, cer: 0.232388, time/batch:   0.737
batch 35400, ctc loss: 1.055914, cer: 0.230077, time/batch:   0.741
batch 35500, ctc loss: 1.065810, cer: 0.230201, time/batch:   0.740
batch 35600, ctc loss: 1.063110, cer: 0.233420, time/batch:   0.752
batch 35700, ctc loss: 1.065526, cer: 0.235855, time/batch:   0.768
batch 35800, ctc loss: 1.052078, cer: 0.231852, time/batch:   0.753
batch 35900, ctc loss: 1.057828, cer: 0.233998, time/batch:   0.750
batch 36000, ctc loss: 1.104194, cer: 0.243696, time/batch:   0.737
batch 36100, ctc loss: 1.065343, cer: 0.236639, time/batch:   0.768
batch 36200, ctc loss: 1.067969, cer: 0.232471, time/batch:   0.754
batch 36300, ctc loss: 1.052832, cer: 0.233833, time/batch:   0.748
batch 36400, ctc loss: 1.066875, cer: 0.229004, time/batch:   0.747
batch 36500, ctc loss: 1.053262, cer: 0.230944, time/batch:   0.761
batch 36600, ctc loss: 1.047886, cer: 0.230036, time/batch:   0.738
batch 36700, ctc loss: 1.058494, cer: 0.231687, time/batch:   0.738
batch 36800, ctc loss: 1.039160, cer: 0.229376, time/batch:   0.751
batch 36900, ctc loss: 1.050855, cer: 0.228344, time/batch:   0.765
batch 37000, ctc loss: 1.060939, cer: 0.228963, time/batch:   0.757
batch 37100, ctc loss: 1.054315, cer: 0.229499, time/batch:   0.754
batch 37200, ctc loss: 1.055808, cer: 0.229458, time/batch:   0.744
batch 37300, ctc loss: 1.053897, cer: 0.232595, time/batch:   0.742
batch 37400, ctc loss: 1.065599, cer: 0.230985, time/batch:   0.751
batch 37500, ctc loss: 1.074274, cer: 0.228344, time/batch:   0.752
batch 37600, ctc loss: 1.053948, cer: 0.230861, time/batch:   0.733
